SMPDB_ID	HMDB_ID
PW_C001068	HMDB0001381
PW_C006776	HMDB0011137
PW_C001121	HMDB0001452
PW_C000949	HMDB0001220
PW_C000889	HMDB0001139
PW_C001699	HMDB0002752
PW_C040451	HMDB0060095
PW_C001820	HMDB0003252
PW_C002099	HMDB0004236
PW_C002104	HMDB0004242
PW_C002180	HMDB0004693
PW_C002181	HMDB0004694
PW_C002389	HMDB0005050
PW_C002174	HMDB0004684
PW_C002172	HMDB0004680
PW_C002113	HMDB0004264
PW_C001529	HMDB0002265
PW_C002170	HMDB0004673
PW_C001562	HMDB0002314
PW_C006774	HMDB0011135
PW_C001814	HMDB0003235
PW_C001511	HMDB0002232
PW_C001561	HMDB0002311
PW_C001477	HMDB0002190
PW_C001579	HMDB0002343
PW_C002183	HMDB0004699
PW_C006775	HMDB0011136
PW_C002179	HMDB0004692
PW_C002171	HMDB0004679
PW_C002163	HMDB0004659
PW_C002614	HMDB0005998
PW_C002105	HMDB0004243
PW_C040453	HMDB0061119
PW_C008524	HMDB0013633
PW_C040452	HMDB0061118
PW_C003933	HMDB0007883
PW_C006388	HMDB0010379
PW_C040709	HMDB0061377
PW_C040708	HMDB0061378
PW_C002919	HMDB0006768
PW_C000098	HMDB0000151
PW_C002018	HMDB0003959
PW_C002016	HMDB0003955
PW_C002920	HMDB0006769
PW_C002671	HMDB0006224
PW_C000037	HMDB0000053
PW_C000273	HMDB0000374
PW_C000263	HMDB0000363
PW_C000054	HMDB0000077
PW_C000814	HMDB0001032
PW_C000157	HMDB0000234
PW_C002921	HMDB0006770
PW_C001745	HMDB0002961
PW_C001802	HMDB0003193
PW_C000077	HMDB0000122
PW_C001924	HMDB0003555
PW_C002089	HMDB0004198
PW_C001746	HMDB0002972
PW_C040101	HMDB0059664
PW_C008509	HMDB0013593
PW_C000159	HMDB0000237
PW_C000130	HMDB0000202
PW_C003904	HMDB0007853
PW_C000531	HMDB0000674
PW_C003019	HMDB0006968
PW_C005826	HMDB0009778
PW_C000714	HMDB0000895
PW_C001091	HMDB0001413
PW_C006391	HMDB0010382
PW_C000440	HMDB0000564
PW_C001202	HMDB0001565
